high	low	varBid	open	close	timestamp
5.0143	5.0142	0.0031	4.9903	5.0138	2023-10-23 22:00:03
5.0984	5.0255	-0.0319	5.0138	5.0312	2023-10-20 20:59:56
5.0984	5.0255	-0.0296	5.0312	5.0335	2023-10-20 20:59:06
5.083	5.0196	0.0071	5.0335	5.0647	2023-10-19 20:59:24
5.0755	5.0287	0.0183	5.0647	5.0591	2023-10-18 20:59:19
5.0417	5.0387	-0.0027	5.0591	5.0382	2023-10-17 21:59:44
5.0807	5.0322	-0.0395	5.0382	5.0402	2023-10-16 20:59:27
5.1024	5.0455	0.0329	5.0402	5.0777	2023-10-13 20:59:16
5.0501	5.0449	0.0015	5.0777	5.046	2023-10-12 16:15:28
5.0704	5.029	-0.0017	5.046	5.0494	2023-10-11 20:59:56
5.1389	5.0477	-0.083	5.0494	5.051	2023-10-10 20:59:37
5.1817	5.1217	-0.0084	5.051	5.136	2023-10-09 20:59:12
